


<RRROWWGRROWL> Your stomach growls.

You've been vegging out in front of that flickering screen for hours, your pet by your side. Now your complaining stomach sets you up on your feet, and on a mission.

Snack Time!
An Interactive Break for a Bite
by Hardy the Bulldog (with help from Renee Choba)
Release 1 / Serial number 080929 / Inform 7 build 5U92 (I6/v6.31 lib 6/12N) 
(For more information please type ABOUT)

Sitting Room
This is the room where you sit a lot. Well, you sleep here sometimes too. But there is a different room that is just for sleeping, and it is to the north. There's another room to the west. It's the room with the food. That is a good room.

Even though this is the sitting room you can't sit on everything. There are a lot of "no"s here, like the thing you can't scratch, and the tall thing and the four-legged thing that isn't alive but that stands still with the box of light on its back.

Your pet is here, all stretched out on the long soft thing and snoring. 
> search for a hidden snack
You can't see any such thing.
> search for a hidden cookie
You can't see any such thing.
> search for a hidden treat
You can't see any such thing.
> search for a hidden bag of chips
You can't see any such thing.
> search for a hidden candy
You can't see any such thing.
> search for a hidden sandwich
You can't see any such thing.
> search for a hidden fridge
You can't see any such thing.
> search for a hidden pantry
You can't see any such thing.
> search for a hidden cupboard
You can't see any such thing.
> search for a hidden snack cabinet
You can't see any such thing.
> search for a hidden snack drawer
You can't see any such thing.
> search for a hidden snack jar
You can't see any such thing.
> search for a hidden cookie jar
You can't see any such thing.
> search for a hidden candy bar
You can't see any such thing.
> search for a hidden key
You can't see any such thing.
> search for a hidden map
You can't see any such thing.
> search for a hidden bookshelf
You can't see any such thing.
> search for a hidden door
You can't see any such thing.
> search for a hidden passage
You can't see any such thing.
> search for a hidden lever
You can't see any such thing.
> search for a hidden switch
You can't see any such thing.
> search for a hidden trapdoor
You can't see any such thing.
> search for a hidden keycard
You can't see any such thing.
> search for a hidden flashlight
You can't see any such thing.
> search for a hidden chest
You can't see any such thing.
> search for a hidden staircase
You can't see any such thing.
> search for a hidden panel
You can't see any such thing.
> search for a hidden button
You can't see any such thing.
> search for a hidden door
You can't see any such thing.
> search for a hidden passage
You can't see any such thing.
> search for a hidden lever
You can't see any such thing.
> search for a hidden switch
You can't see any such thing.
> search for a hidden trapdoor
You can't see any such thing.
> search for a hidden key
You can't see any such thing.
> search for a hidden map
You can't see any such thing.
> search for a hidden compartment
You can't see any such thing.
> search for a hidden staircase
You can't see any such thing.
> search for a hidden passageway
You can't see any such thing.
> search for a hidden button
You can't see any such thing.
> search for a hidden door
You can't see any such thing.
> search for a hidden panel
You can't see any such thing.
> search for a hidden lever
You can't see any such thing.
> search for a hidden switch
You can't see any such thing.
> search for a hidden trapdoor
You can't see any such thing.
> search for a hidden key
You can't see any such thing.
> search for a hidden passage
You can't see any such thing.
> search for a hidden compartment
You can't see any such thing.
> search for a hidden staircase
You can't see any such thing.
> search for a hidden entrance
You can't see any such thing.
> search for a hidden button
You can't see any such thing.
> search for a hidden door
You can't see any such thing.
> search for a hidden panel
You can't see any such thing.
> search for a hidden lever
You can't see any such thing.
> search for a hidden switch
You can't see any such thing.
> search for a hidden trapdoor
You can't see any such thing.
> search for a hidden key
You can't see any such thing.
> search for a hidden passage
You can't see any such thing.
> search for a hidden compartment
You can't see any such thing.
> search for a hidden staircase
You can't see any such thing.
> search for a hidden entrance
You can't see any such thing.
> search for a hidden button
You can't see any such thing.
> search for a hidden door
You can't see any such thing.
> search for a hidden panel
You can't see any such thing.
> search for a hidden lever
You can't see any such thing.
> search for a hidden switch
You can't see any such thing.
> search for a hidden trapdoor
You can't see any such thing.
> search for a hidden key
You can't see any such thing.
> search for a hidden passage
You can't see any such thing.
> search for a hidden compartment
You can't see any such thing.
> search for a hidden staircase
You can't see any such thing.
> search for a hidden entrance
You can't see any such thing.
> search for a hidden button
You can't see any such thing.
> search for a hidden door
You can't see any such thing.
> search for a hidden panel
You can't see any such thing.
> search for a hidden lever
You can't see any such thing.
> search for a hidden switch
You can't see any such thing.
> search for a hidden trapdoor
You can't see any such thing.
> search for a hidden key
You can't see any such thing.
> search for a hidden passage
You can't see any such thing.
> search for a hidden compartment
You can't see any such thing.
> search for a hidden staircase
You can't see any such thing.
> search for a hidden entrance
You can't see any such thing.
> search for a hidden button
You can't see any such thing.
> search for a hidden door
You can't see any such thing.
> search for a hidden panel
You can't see any such thing.
> search for a hidden lever
You can't see any such thing.
> search for a hidden switch
You can't see any such thing.
> search for a hidden trapdoor
You can't see any such thing.
> search for a hidden key
You can't see any such thing.
> search for a hidden passage
You can't see any such thing.
> search for a hidden compartment
You can't see any such thing.
> search for a hidden staircase
You can't see any such thing.
> search for a hidden entrance
You can't see any such thing.
> search for a hidden button
You can't see any such thing.
> search for a hidden door
You can't see any such thing.
> search for a hidden panel
You can't see any such thing.
> search for a hidden lever
You can't see any such thing.
> search for a hidden switch
You can't see any such thing.
> search for a hidden trapdoor
You can't see any such thing.
> search for a hidden key
You can't see any such thing.
> max_steps_exceeded
Scored 0 out of 50
